Serial No.,Sentence,Option 1,Option 2,Correct Option,Notes
133, This is _____ elephant., an, swim, 1,
134, He _____ slowly., walks, cloud, 1,
135, We _____ a secret., share, rock, 1,
136, The _____ is sharp., knife, jump, 1,
137, They _____ chess., play, tree, 1,
138, My _____ is long., hair, fly, 1,
139, You _____ kindly., help, ocean, 1,
140, It is _____ now., windy, dance, 1,
141, I _____ my nails., paint, river, 1,
142, She _____ a picture., draws, mountain, 1,
143, This _____ is bitter., coffee, hop, 1,
144, He _____ the door., locks, skip, 1,
145, We _____ a joke., tell, star, 1,
146, The _____ is heavy., box, walk, 1,
147, They _____ loudly., laugh, desk, 1,
148, My _____ is young., cousin, window, 1,
149, You _____ clearly., explain, chair, 1,
150, It _____ at night., rains, table, 1,
151, I _____ a message., send, stone, 1,
152, She _____ her head., nods, leaf, 1,
153, This is _____ apple., an, grass, 1,
154, He _____ a horse., rides, book, 1,
155, We _____ a plan., make, run, 1,
156, The _____ is square., frame, swim, 1,
157, They _____ gracefully., dance, fly, 1,
158, My _____ is patient., mom, jump, 1,
159, You _____ accurately., guess, sky, 1,
160, It is _____ today., stormy, cloud, 1,
161, I _____ my hair., comb, sleep, 1,
162, She _____ a hat., wears, sky, 1,
163, This is _____ orange., an, swim, 1,
164, He _____ carefully., drives, cloud, 1,
165, We _____ a song., hum, rock, 1,
166, The _____ is soft., blanket, jump, 1,
167, They _____ cards., play, tree, 1,
168, My _____ is short., skirt, fly, 1,
169, You _____ politely., knock, ocean, 1,
170, It is _____ now., chilly, dance, 1,
171, I _____ my bike., ride, river, 1,
172, She _____ a button., sews, mountain, 1,
173, This _____ is salty., soup, hop, 1,
174, He _____ the TV., fixes, skip, 1,
175, We _____ a story., write, star, 1,
176, The _____ is light., feather, walk, 1,
177, They _____ early., arrive, desk, 1,
178, My _____ is neat., desk, window, 1,
179, You _____ wisely., choose, chair, 1,
180, It _____ in autumn., falls, table, 1,
181, I _____ a package., mail, stone, 1,
182, She _____ her eyes., closes, leaf, 1,
183, This is _____ igloo., an, grass, 1,
184, He _____ a truck., drives, book, 1,
185, We _____ a goal., score, run, 1,
186, The _____ is flat., board, swim, 1,
187, They _____ happily., chat, fly, 1,
188, My _____ is brave., grandpa, jump, 1,
189, You _____ correctly., count, sky, 1,
190, It is _____ today., icy, cloud, 1,
191, I _____ my jacket., zip, sleep, 1,
192, She _____ a bracelet., wears, sky, 1,
193, This is _____ avocado., an, swim, 1,
194, He _____ gently., pets, cloud, 1,
195, We _____ a rule., follow, rock, 1,
196, The _____ is fragile., glass, jump, 1,
197, They _____ volleyball., play, tree, 1,
198, My _____ is cozy., bed, fly, 1,
199, You _____ calmly., wait, ocean, 1,
200, It is _____ now., misty, dance, 1
